	PD_whole_tree	shannon	simpson	observed_otus
CS.003	40.0	2.45390409457	0.791768904636	7.0
CS.006	44.0	2.70741177155	0.826004068356	8.0
CS.019	51.0	2.74967269876	0.809660082305	10.0
CS.032	40.0	2.63112628076	0.807571089304	8.0
CS.043	52.0	3.04356657519	0.868371821922	10.0
CS.049	31.0	2.2615810537	0.747738257722	6.0
CS.050	40.0	2.78074307304	0.824290093413	8.0
CS.061	55.0	3.12225310491	0.874845776817	11.0
CS.075	39.0	2.22134051239	0.74273666579	8.0
CS.095	33.0	2.4023182596	0.79134815691	6.0
CS.183	63.0	2.90980165547	0.823904299666	12.0
L.006.M1	37.0	2.43442236912	0.784003292181	7.0
L.008.M1	23.0	1.68918603925	0.673470010292	4.0
T.CS.180	78.0	3.01347882997	0.834466387197	16.0
CS.033	35.0	1.70429022004	0.643215478742	6.0
CS.037	28.0	2.27586823334	0.788023219221	5.0
CS.072	50.0	2.79178783297	0.843697339864	9.0
CS.117	56.0	2.83145669282	0.817079280361	11.0
CS.120	35.0	2.28090433823	0.770555784018	6.0
CS.145	100.0	3.03662824741	0.825629930052	19.0
CS.165	68.0	3.21507906245	0.873210250768	14.0
CS.172	30.0	2.27055030551	0.763354627169	6.0
CS.199	40.0	2.37040277622	0.777162442708	8.0
CS.201	30.0	2.27055030551	0.763354627169	6.0
CS.203	46.0	2.54589709604	0.798193620224	8.0
CS.212	57.0	3.18648291766	0.8706775092	13.0
CS.214	47.0	3.0506774224	0.872208171312	9.0
CS.218	44.0	2.72328755826	0.824627305624	8.0
CS.263	39.0	2.37668774796	0.747838026875	7.0
CS.264	12.0	0.727126138087	0.323123584946	2.0
CS.278	51.0	2.81747594072	0.836855491569	9.0
CS.297	45.0	2.26130365619	0.759000091492	8.0
CS.311	37.0	2.937023757	0.851736453029	9.0
CS.350	56.0	2.4904480122	0.69720655638	12.0
CS.351	65.0	3.19088537504	0.866000570692	13.0
CS.388	34.0	2.3444230459	0.782461370772	6.0
CS.395	71.0	3.1745285996	0.856658245211	14.0
T.CS.111	33.0	1.56964299147	0.492519764354	7.0
CS.177	84.0	3.26932170363	0.84791696935	16.0
CS.186	55.0	2.99112869941	0.855993656693	10.0
CS.243	24.0	1.74711840311	0.663510284948	4.0
CS.265	32.0	1.91281222159	0.654433694377	6.0
CS.270	65.0	2.99191129403	0.849760809316	12.0
CS.280	44.0	2.57940054234	0.806480413516	8.0
CS.305	68.0	2.95732664486	0.840602619251	13.0
