Food.code	Main.food.description
92306020	Tea_herbal_presweetened_with_sugar
92302200	Tea_leaf_presweetened_with_sugar
92301060	Tea_NS_as_to_type_presweetened_with_sugar
92302300	Tea_leaf_presweetened_with_low_calorie_sweetener
92511010	Fruit_flavored_drink_formerly_lemonade
75316010	Zucchini_with_tomato_sauce_cooked_fat_not_added_in_cooking
75221210	Parsley_cooked_assume_fat_not_added_in_cooking
92301130	Tea_NS_as_to_type_presweetened_NS_as_to_sweetener
51201060	Bread_whole_wheat_100_made_from_home_recipe_or_purchased_at_bakery
58151130	Sushi_with_vegetables_and_seafood
51151060	Roll_white_soft_made_from_home_recipe_or_purchased_at_a_bakery
51220000	Roll_whole_wheat_100
51201150	Bread_pita_whole_wheat_100
11553000	Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_and_dairy_products
64134000	Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_only_no_dairy_products
92305000	Tea_made_from_powdered_instant_presweetened_NS_as_to_sweetener
11514300	Cocoa_with_nonfat_dry_milk_and_low_calorie_sweetener_mixture_water_added
51201010	Bread_whole_wheat_100
92105010	Coffee_made_from_liquid_concentrate
11541500	Milk_shake_made_with_skim_milk_chocolate
51207010	Bread_sprouted_wheat
92302800	Tea_leaf_decaffeinated_presweetened_NS_as_to_sweetener
58151140	Sushi_with_vegetables_rolled_in_seaweed
92302400	Tea_leaf_presweetened_NS_as_to_sweetener
92301000	Tea_NS_as_to_type_unsweetened
