FoodCode	ModCode	Main.food.description	Old.Main.food.description	FoodID
11111000	0	Milk_whole	Milk, whole	11111000.0
11112110	0	Milk_reduced_fat_2_	Milk, reduced fat (2%)	11112110.0
11112210	0	1_milk	1% milk	11112210.0
11113000	0	Milk_fat_free_skim_	Milk, fat free (skim)	11113000.0
11220000	0	Sweetened_condensed_milk	Sweetened condensed milk	11220000.0
11320000	0	Soymilk_soy_beverage_	Soymilk (soy beverage)	11320000.0
11321000	0	Milk_soy_soy_beverage_chocolate	Milk, soy (soy beverage), chocolate	11321000.0
11350000	0	Almond_milk	Almond milk	11350000.0
11411100	0	Yogurt_plain_whole_milk	Yogurt, plain, whole milk	11411100.0
11411200	0	Yogurt_plain_low_fat	Yogurt, plain, low fat	11411200.0
11411300	0	Yogurt_plain_fat_free	Yogurt, plain, fat free	11411300.0
11422000	0	Yogurt_coffee_lowfat	Yogurt, coffee, lowfat	11422000.0
11431000	0	Yogurt_blueberry_whole_milk	Yogurt, blueberry, whole milk	11431000.0
11432000	0	Yogurt_raspberry_lowfat	Yogurt, raspberry, lowfat	11432000.0
11433000	0	Yogurt_raspberry_fat_free	Yogurt, raspberry, fat free	11433000.0
11447772	0	Greek_yogurt_fruit_fat_free	Greek yogurt, fruit, fat free	11447772.0
11460170	0	Frozen_yogurt_other_flavors_low_fat	Frozen yogurt, other flavors, low fat	11460170.0
11460300	0	Frozen_yogurt_vanilla_nonfat	Frozen yogurt, vanilla, nonfat	11460300.0
11512000	0	Hot_chocolate_homemade_with_whole_milk	Hot chocolate, homemade, with whole milk	11512000.0
11513300	0	Hot_cocoa_Hershey_s_Nestle_s_Quick_made_from_mix_with_fat_free_skim_milk	Hot cocoa, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk	11513300.0
11514100	0	Hot_chocolate_Swiss_Miss_Carnation_made_from_dry_mix_with_milk_sugar_with_water	Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water	11514100.0
11519200	0	Milk_low_fat_1_with_strawberry_or_vanilla_flavor	Milk, low fat (1%) with strawberry or vanilla flavor	11519200.0
11526000	202663	Malted_milk_fortified_chocolate_with_1_milk	Malted milk, fortified, chocolate, with 1% milk	11526000.202663
11541110	100566	Milk_shake_fountain_type_chocolate_with_2_milk	Milk shake,  fountain-type, chocolate, with 2% milk	11541110.100566
11623000	0	Ensure_Nutrition_Shake	Ensure Nutrition Shake	11623000.0
11641020	0	Meal_supplement_ready_to_drink_Boost_	Meal supplement, ready-to-drink, (Boost)	11641020.0
12120100	0	Half_and_half	Half and half	12120100.0
12130100	0	Cream_heavy_whipping_cream_	Cream, heavy (whipping cream)	12130100.0
12140110	0	Cream_whipped_pressurized_container_fat_free	Cream, whipped, pressurized container, fat free	12140110.0
12210200	0	Cream_substitute_liquid	Cream substitute, liquid	12210200.0
12210210	0	Coffee_Mate_flavored_liquid	Coffee Mate, flavored, liquid	12210210.0
13110100	0	Ice_cream_regular_vanilla_or_other_flavors	Ice cream, regular, vanilla or other flavors	13110100.0
13110110	0	Ice_cream_regular_chocolate	Ice cream, regular, chocolate	13110110.0
13110120	0	Ice_cream_premium_rich_vanilla_or_other_flavors	Ice cream, premium (rich), vanilla or other flavors	13110120.0
13120050	0	Ice_cream_bar_no_coating	Ice cream bar, no coating	13120050.0
13120730	0	Ice_cream_cone_vanilla_ice_cream_or_other_flavors	Ice cream cone, vanilla ice cream or other flavors	13120730.0
13210410	200118	Pudding_rice_with_reduced_fat_2_milk	Pudding, rice, with reduced fat (2%) milk	13210410.200118
13411000	205622	Cream_sauce_made_with_butter	Cream sauce, made with butter	13411000.205622
14101010	0	Roquefort_cheese	Roquefort cheese	14101010.0
14104010	0	Cheese_Cheddar	Cheese, Cheddar	14104010.0
14107030	0	Mozzarella_cheese_part_skim	Mozzarella cheese, part skim	14107030.0
14107040	0	Cheese_Mozzarella_low_sodium	Cheese, Mozzarella, low sodium	14107040.0
14107060	0	Mozzarella_cheese_nonfat_or_fat_free	Mozzarella cheese, nonfat or fat free	14107060.0
14108400	0	Cheese_Provolone	Cheese, Provolone	14108400.0
14120010	0	Cheese_Mexican_blend	Cheese, Mexican blend	14120010.0
14204010	0	Cheese_cottage_low_fat_1_2_fat_	Cheese, cottage, low fat (1-2% fat)	14204010.0
14301010	0	Cheese_cream	Cheese, cream	14301010.0
14410120	0	Cheese_American_reduced_fat	Cheese, American, reduced fat	14410120.0
14650160	0	Alfredo_sauce	Alfredo sauce	14650160.0
21101129	0	Steak_beef_raw_filet_boneless	Steak, beef, raw, filet, boneless	21101129.0
21101130	0	Steak_beef_grilled_or_broiled_lean_only_eaten	Steak, beef, grilled or broiled, lean only eaten	21101130.0
21102130	0	Steak_beef_fried_lean_only_eaten	Steak, beef, fried, lean only eaten	21102130.0
21304120	0	Beef_shortribs_cooked_lean_only_eaten	Beef, shortribs, cooked, lean only eaten	21304120.0
21304220	0	Beef_shortribs_barbecued_with_sauce_lean_only_eaten	Beef, shortribs, barbecued, with sauce, lean only eaten	21304220.0
21401110	0	Beef_roast_lean_and_fat_eaten_prime_rib_rib_roast_	Beef, roast, lean and fat eaten (prime rib, rib roast)	21401110.0
21401120	0	Beef_roast_lean_only_eaten_prime_rib_rib_roast_	Beef, roast, lean only eaten (prime rib, rib roast)	21401120.0
21401129	0	Beef_raw_roast_eye_of_round_fat_trimmed	Beef, raw, roast, eye of round, fat trimmed	21401129.0
21407110	0	Beef_pot_roast_braised_or_boiled_lean_and_fat_eaten	Beef, pot roast, braised or boiled, lean and fat eaten	21407110.0
21407119	0	Beef_raw_roast_chuck_boneless_fat_not_trimmed	Beef, raw, roast, chuck, boneless, fat not trimmed	21407119.0
21407120	0	Beef_pot_roast_braised_or_boiled_lean_only_eaten	Beef, pot roast, braised or boiled, lean only eaten	21407120.0
21417120	0	Beef_brisket_cooked_lean_only_eaten	Beef, brisket, cooked, lean only eaten	21417120.0
