Main.food.description	FoodID
NA	NA.0
NA	NA.200139
Salad_dressing_caesar_fat_free	4404.201630
NA	NA.201359
NA	NA.200632
NA	NA.200494
NA	NA.205374
Fast_foods_entree_chicken_breaded_and_fried_skin_and_breading_from_all_pieces	2122.101287
NA	NA.100000
NA	NA.100014
NA	NA.205450
NA	NA.205994
NA	NA.205802
NA	NA.203108
Club_sandwich_with_grilled_chicken_bacon_tomato_cheese_lettuce_and_mayonnaise	2271.100055
NA	NA.100258
NA	NA.206619
Cheese_processed_product_cheddar_spread	1401.200157
NA	NA.205966
NA	NA.202280
NA	NA.101309
NA	NA.203407
NA	NA.200059
NA	NA.200047
Jute_potherb_boiled_drained_with_salt	1197.200333
Cereal_ready_to_eat_Vanilla_Almond_Granola_Nature_s_Path	8203.100703
Dessert_frozen_ice_cream_sandwich_made_with_light_ice_cream_vanilla	1921.205474
NA	NA.206405
NA	NA.201840
NA	NA.201590
Cheese_processed_product_mozzarella_slices	1401.201257
NA	NA.206959
NA	NA.200428
NA	NA.205695
NA	NA.201503
Salad_dressing_caesar_fat_free	4404.205566
NA	NA.205034
NA	NA.205414
NA	NA.205393
NA	NA.205517
NA	NA.200202
NA	NA.200361
Cereal_ready_to_eat_Vanilla_Almond_Granola_Nature_s_Path	8203.200135
NA	NA.200732
NA	NA.206444
NA	NA.205860
NA	NA.205348
NA	NA.205578
Yogourt_fruit_flavoured_with_added_calcium_and_vitamin_D_2_3_9_M_F_	1403.200675
NA	NA.205480
