Main.food.description	FoodID
Chicken_NS_as_to_part_fried_no_coating_NS_as_to_skin_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	24104000.101357
Chicken_breast_coated_baked_or_fried_prepared_with_skin_skin_coating_eaten_W_O_FAT	24127110.205695
Beans_string_cooked_from_fresh_NS_as_to_color_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	75204981.205965
Chicken_thigh_fried_no_coating_skin_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	24154210.205389
Turnip_greens_cooked_NS_as_to_form_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	72128220.205079
Turnip_greens_cooked_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	72128221.205727
Coffee_latte_W_WHOLE_MILK	92101900.206405
Chicken_or_turkey_cacciatore_W_O_FAT	27141000.207201
Spaghetti_with_tomato_sauce_meatless_W_O_FAT	58132110.207598
Spaghetti_with_tomato_sauce_and_meatballs_or_spaghetti_with_meat_sauce_or_spaghetti_with_meat_sauce_and_meatballs_W_O_FAT	58132310.207656
Rice_brown_with_beans_W_O_FAT	58161320.207527
Spinach_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	72125221.100767
Coffee_mocha_W_WHOLE_MILK	92101950.206423
Rice_with_beans_and_pork_W_O_FAT	58160140.206858
Whole_wheat_cereal_cooked_fat_not_added_in_cooking_W_MILK	56207200.101329
Salmon_cake_or_patty_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	27250070.100813
Celery_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75215020.202812
Cabbage_Chinese_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75210020.100360
Red_kidney_beans_dry_cooked_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	41106010.101341
Beef_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_mixture_W_VEG_OIL_NFS	27311120.207576
Mushrooms_cooked_NS_as_to_form_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75219020.100409
Brussels_sprouts_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS	75209021.201523
Chicken_drumstick_fried_no_coating_skin_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	24144210.205539
Cappuccino_W_SKIM_MILK	92161000.202295
Pepper_steak_W_O_FAT	27416150.207780
Collards_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_INCLUDE_OIL_NFS_	72107222.206072
Tomato_and_onion_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	74504120.100748
Green_peppers_and_onions_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75307000.100955
Beans_string_green_cooked_from_canned_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75205033.100300
Collards_cooked_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	72107221.205060
Chicken_wing_coated_baked_or_fried_prepared_with_skin_skin_coating_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	24167110.205393
Beans_lima_immature_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75204022.200429
Beans_string_green_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75205032.202107
Vegetable_combination_including_carrots_broccoli_and_or_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75330120.207543
Chicken_or_turkey_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_cream_sauce_white_sauce_or_mushroom_soup_based_sauce_mixture_W_BUTTER_NFS	27345410.207672
Flavored_rice_and_pasta_mixture_W_O_FAT	58163380.202867
Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	41104010.101336
Rice_creamed_made_with_milk_and_sugar_Puerto_Rican_style_W_WHOLE_MILK	56205080.207554
Coffee_latte_W_2_MILK	92101900.203108
Carrots_cooked_from_fresh_glazed_W_O_FAT	73102241.203489
Chicken_or_turkey_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_mixture_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	27341020.207610
Mixed_vegetables_corn_lima_beans_peas_green_beans_and_carrots_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75311020.100159
Pudding_flavors_other_than_chocolate_prepared_from_dry_mix_milk_added_W_SKIM_MILK	13220110.200665
Coffee_latte_W_1_MILK	92101900.206440
Fennel_bulb_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75215120.207156
Cauliflower_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75214021.203407
Mixed_vegetables_corn_lima_beans_peas_green_beans_and_carrots_cooked_from_frozen_fat_added_in_cooking_W_BUTTER_NFS	75311022.100619
Asparagus_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75202021.205482
Asparagus_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS	75202021.200394
Pork_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_sauce_mixture_W_O_FAT	27320040.207515
Cabbage_green_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75211030.200675
Wheat_cream_of_cooked_regular_fat_not_added_in_cooking_W_MILK	56207010.206436
Chicken_breast_fried_no_coating_skin_not_eaten_W_MARGARINE_NFS	24124120.205398
Collards_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	72107221.205540
Chicken_wing_fried_no_coating_skin_not_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	24164120.205504
Chicken_drumstick_fried_no_coating_skin_not_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	24144220.205371
Corn_yellow_cooked_from_canned_fat_added_in_cooking_W_BUTTER_NFS	75216123.200240
Onions_mature_cooked_or_sauteed_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75221021.201147
Mushrooms_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75219021.200157
Chicken_drumstick_coated_baked_or_fried_prepared_with_skin_skin_coating_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	24147210.205362
Eggplant_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75217020.201257
Cauliflower_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75214022.206294
Chicken_drumstick_coated_baked_or_fried_prepared_skinless_coating_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	24147250.205538
Pudding_flavors_other_than_chocolate_prepared_from_dry_mix_low_calorie_containing_artificial_sweetener_milk_added_W_SKIM_MILK	13220210.200395
Coffee_mocha_W_2_MILK	92101950.205578
Beans_string_green_cooked_from_frozen_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	75205032.205177
Kale_cooked_from_frozen_fat_added_in_cooking_W_BUTTER_NFS	72119222.207765
Chicken_breast_coated_baked_or_fried_prepared_skinless_coating_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	24127150.205374
Squash_summer_cooked_NS_as_to_form_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75233020.200542
Beans_string_cooked_NS_as_to_form_NS_as_to_color_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	75204980.206102
Chicken_or_turkey_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_no_sauce_mixture_W_BUTTER_NFS	27440120.207564
Shrimp_and_noodles_no_sauce_mixture_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	27250120.207710
Collards_cooked_NS_as_to_form_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	72107220.206284
Corn_yellow_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS	75216121.200375
Chicken_or_turkey_a_la_king_with_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_potatoes_cream_white_or_soup_based_sauce_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	27443110.207727
