FoodCode	Main.food.description	ModCode	Old.Main.food.description	FoodID
11000000	Milk_human	0	Milk, human	11000000.0
11100000	Milk_NFS	0	Milk, NFS	11100000.0
11111000	Milk_cows_fluid_whole	0	Milk, cows, fluid, whole	11111000.0
11111100	Milk_cows_fluid_whole_low_sodium	0	Milk, cows, fluid, whole, low-sodium	11111100.0
11111150	Milk_calcium_fortified_cows_fluid_whole	0	Milk, calcium fortified, cows, fluid, whole	11111150.0
11111160	Milk_calcium_fortified_cows_fluid_1_fat	0	Milk, calcium fortified, cows, fluid, 1% fat	11111160.0
11111170	Milk_calcium_fortified_cows_fluid_skim_or_nonfat	0	Milk, calcium fortified, cows, fluid, skim or nonfat	11111170.0
11112110	Milk_cows_fluid_2_fat	0	Milk, cows, fluid, 2% fat	11112110.0
11112120	Milk_cows_fluid_acidophilus_1_fat	0	Milk, cows, fluid, acidophilus, 1% fat	11112120.0
11112130	Milk_cows_fluid_acidophilus_2_fat	0	Milk, cows, fluid, acidophilus, 2% fat	11112130.0
11112210	Milk_cows_fluid_1_fat	0	Milk, cows, fluid, 1% fat	11112210.0
11113000	Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat	0	Milk, cows, fluid, skim or nonfat, 0.5% or less butterfat	11113000.0
11114300	Milk_cows_fluid_lactose_reduced_1_fat	0	Milk, cows, fluid, lactose reduced, 1% fat	11114300.0
11114310	Milk_cows_fluid_lactose_reduced_1_fat_fortified_with_calcium	0	Milk, cows, fluid, lactose reduced, 1% fat, fortified with calcium	11114310.0
11114320	Milk_cows_fluid_lactose_reduced_nonfat	0	Milk, cows, fluid, lactose reduced, nonfat	11114320.0
11114321	Milk_cows_fluid_lactose_reduced_nonfat_fortified_with_calcium	0	Milk, cows, fluid, lactose reduced, nonfat, fortified with calcium	11114321.0
11114330	Milk_cows_fluid_lactose_reduced_2_fat	0	Milk, cows, fluid, lactose reduced, 2% fat	11114330.0
11114350	Milk_cows_fluid_lactose_reduced_whole	0	Milk, cows, fluid, lactose reduced, whole	11114350.0
11115000	Buttermilk_fluid_nonfat	0	Buttermilk, fluid, nonfat	11115000.0
11115100	Buttermilk_fluid_1_fat	0	Buttermilk, fluid, 1% fat	11115100.0
11115200	Buttermilk_fluid_2_fat	0	Buttermilk, fluid, 2% fat	11115200.0
11115300	Buttermilk_fluid_whole	0	Buttermilk, fluid, whole	11115300.0
11116000	Milk_goats_fluid_whole	0	Milk, goats, fluid, whole	11116000.0
11120000	Milk_dry_reconstituted_NFS	0	Milk, dry, reconstituted, NFS	11120000.0
11121100	Milk_dry_reconstituted_whole	0	Milk, dry, reconstituted, whole	11121100.0
11121210	Milk_dry_reconstituted_lowfat	0	Milk, dry, reconstituted, lowfat	11121210.0
11121300	Milk_dry_reconstituted_nonfat	0	Milk, dry, reconstituted, nonfat	11121300.0
11210050	Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted_	0	Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)	11210050.0
11211050	Milk_evaporated_whole_formerly_NS_as_to_dilution_used_in_coffee_or_tea_	0	Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)	11211050.0
