Main.food.description	X261	X262	X1571	X1572	X3241	X3242	X16971	X16972	X23381	X30341	X30671	X30672	X30791	X30792	X32061	X32062	X32831	X32981	X33191	X33192	X33982	X34491	X51271	X51272	X51722	X52131	X52471	X52472	X53002	X53821	X53822	X53861	X53862	X54551	X54552	X54631	X58961	X58962	X59471	X59472	X60461	X60462	X60511	X60512	X65442	X66761	X66762	X92291	X92292	X93962	X94531	X94532	X95501	X95502	X95672	FoodCode	ModCode	Old.Main.food.description	FoodID
AllBran	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57101000	0	AllBran	57101000.0
AlmondMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.625	0	0	0	0	0	2.333333	3.5	0	0	1.75	0	0	0	0	0	0	0	0	11350000	0	AlmondMilk	11350000.0
Apples	3	5.5	3	0	5.5	3	0	1	0	7	1	3	0.5	0.5	1	3	0.5	7	3	1	3	3	1	1	0	1	3	0.5	7	3	0.5	1	0	5.5	1	18	1	1	3	3	3	7	1	1	3	7	3	1	0.5	0.5	0	0	3	7	3	63101000	0	Apples	63101000.0
Avocado	1	1	0.5	0	1	0	0	0	0	0	0.5	0	0.5	0	1	0	1	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	3	0	0	0	0	5.5	0.5	0	0	0	0	0	0.5	0	5.5	0	3	0.5	0.5	3	0	0	0.5	0	0	63105010	0	Avocado	63105010.0
BakedBeans	1	0.5	1	1	0.5	0	1	1	0	0.5	0.5	0.5	3	0.5	1	0.5	0.5	3	0.5	1	1	0.5	1	3	0	1	3	0.5	1	0	0.5	1	0	3	0.5	0	1	1	0.5	1	1	1	0	0.5	1	0.5	0.5	0.5	1	1	0	0.5	1	0	3	41201010	0	BakedBeans	41201010.0
Bananas	3	0.5	7	3	0.5	18	0	1	7	7	7	0.5	5.5	3	0.5	3	0	3	3	0	5.5	7	7	3	0	0.5	0.5	0	7	7	3	3	0	5.5	0	3	5.5	3	0.5	3	0	0	3	3	1	3	3	1	1	3	0	0	3	7	3	63107010	0	Bananas	63107010.0
Beansprouts	0	0	0.5	0.5	0.5	0	0.5	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	7	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	75101000	0	Beansprouts	75101000.0
Beer	1	0	0	0	3	3	0	0	3	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0.5	0	0	0.5	0	0	93101000	0	Beer	93101000.0
Beetroot	0.5	3	0	0	1	0.5	0.5	0.5	0.5	1	1	0.5	1	0.5	3	0	0.5	0.5	0.5	1	0	0	3	3	0	0	0	3	0	0	0	3	7	1	0	7	0.5	0	1	1	0	0.5	1	0.5	0	1	0.5	0.5	0.5	1	1	0	3	0	1	75102500	0	Beetroot	75102500.0
Biscuitschoc	0.5	0	7	3	0	0.5	0.5	0.5	32	1	7	0	5.5	3	1	0	7	0.5	1	3	1	0	3	1	0.5	0.5	0.5	1	3	0	1	0.5	0.5	0.5	0	0	0.5	5.5	0.5	1	1	3	0.5	0.5	0.5	0	0	1	0	0.5	7	1	0.5	0	3	53207000	0	Biscuitschoc	53207000.0
