Food.code	taxonomy	Description
11000000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_human;L4_;L5_;Milk_human	Milk human
11100000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_NFS	Milk NFS
11111000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_whole	Milk whole
11111100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_low_sodium_whole	Milk low sodium whole
11111150	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_calcium_fortified_whole	Milk calcium fortified whole
11111160	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_calcium_fortified_low_fat_1	Milk calcium fortified low fat 1
11111170	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_calcium_fortified_fat_free_skim	Milk calcium fortified fat free skim
11112110	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_reduced_fat_2	Milk reduced fat 2
11112120	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_acidophilus_low_fat_1	Milk acidophilus low fat 1
11112130	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_acidophilus_reduced_fat_2	Milk acidophilus reduced fat 2
11112210	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_low_fat_1	Milk low fat 1
11113000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_fat_free_skim	Milk fat free skim
11114300	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_lactose_free_low_fat_1	Milk lactose free low fat 1
11114320	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_lactose_free_fat_free_skim	Milk lactose free fat free skim
11114330	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_lactose_free_reduced_fat_2	Milk lactose free reduced fat 2
11114350	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_lactose_free_whole	Milk lactose free whole
11115000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Buttermilk_fat_free_skim	Buttermilk fat free skim
11115100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Buttermilk_low_fat_1	Buttermilk low fat 1
11115200	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Buttermilk_reduced_fat_2	Buttermilk reduced fat 2
11115300	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Buttermilk_whole	Buttermilk whole
11115400	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Kefir_NS_as_to_fat_content	Kefir NS as to fat content
11116000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Goats_milk_whole	Goats milk whole
11120000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_dry_reconstituted_NS_as_to_fat_content	Milk dry reconstituted NS as to fat content
11121100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_dry_reconstituted_whole	Milk dry reconstituted whole
11121210	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_dry_reconstituted_low_fat_1	Milk dry reconstituted low fat 1
11121300	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_dry_reconstituted_fat_free_skim	Milk dry reconstituted fat free skim
11210050	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_;L5_;Milk_evaporated_NS_as_to_fat_content	Milk evaporated NS as to fat content
11211050	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_;L5_;Milk_evaporated_whole	Milk evaporated whole
11211400	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_;L5_;Milk_evaporated_reduced_fat_2	Milk evaporated reduced fat 2
11212050	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_;L5_;Milk_evaporated_fat_free_skim	Milk evaporated fat free skim
11220000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_;L5_;Milk_condensed_sweetened	Milk condensed sweetened
11320000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Soy_milk	Soy milk
11320100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Soy_milk_light	Soy milk light
11320200	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Soy_milk_nonfat	Soy milk nonfat
11321000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Soy_milk_chocolate	Soy milk chocolate
11321100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Soy_milk_light_chocolate	Soy milk light chocolate
11321200	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Soy_milk_nonfat_chocolate	Soy milk nonfat chocolate
11340000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Imitation_milk_nonsoy_sweetened	Imitation milk nonsoy sweetened
11350000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Almond_milk_sweetened	Almond milk sweetened
11350010	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Almond_milk_sweetened_chocolate	Almond milk sweetened chocolate
11350020	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Almond_milk_unsweetened	Almond milk unsweetened
11350030	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Almond_milk_unsweetened_chocolate	Almond milk unsweetened chocolate
11360000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Rice_milk	Rice milk
11370000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;L5_;Coconut_milk	Coconut milk
11410000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_NS_as_to_type_of_milk_or_flavor	Yogurt NS as to type of milk or flavor
11411010	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_plain_NS_as_to_type_of_milk	Yogurt plain NS as to type of milk
11411100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_plain_whole_milk	Yogurt plain whole milk
11411200	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_plain_low_fat_milk	Yogurt plain low fat milk
11411300	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_plain_nonfat_milk	Yogurt plain nonfat milk
11411400	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_Greek_plain_whole_milk	Yogurt Greek plain whole milk
11411410	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_Greek_plain_low_fat	Yogurt Greek plain low fat
11411420	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_Greek_plain_nonfat_milk	Yogurt Greek plain nonfat milk
11420000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_vanilla_NS_as_to_type_of_milk	Yogurt vanilla NS as to type of milk
11421000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_vanilla_whole_milk	Yogurt vanilla whole milk
11422000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_vanilla_low_fat_milk	Yogurt vanilla low fat milk
11422100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_vanilla_low_fat_milk_light	Yogurt vanilla low fat milk light
11423000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_vanilla_nonfat_milk	Yogurt vanilla nonfat milk
11424000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_;L5_;Yogurt_vanilla_nonfat_milk_light	Yogurt vanilla nonfat milk light
