FoodID	taxonomy	Main.food.description
11100000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_NFS	Milk NFS
11111000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;L5_;Milk_cows_fluid_whole	Milk cows fluid whole
11112110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;L5_;Milk_cows_fluid_2_fat	Milk cows fluid 2 fat
11112210.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;L5_;Milk_cows_fluid_1_fat	Milk cows fluid 1 fat
11113000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;L5_;Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat	Milk cows fluid skim or nonfat 0 5 or less butterfat
11411200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;L5_;Yogurt_plain_lowfat_milk	Yogurt plain lowfat milk
11411300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;L5_;Yogurt_plain_nonfat_milk	Yogurt plain nonfat milk
11422000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_vanilla;L5_;Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk	Yogurt vanilla lemon maple or coffee flavor lowfat milk
11432000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_fruit_variety;L5_;Yogurt_fruit_variety_lowfat_milk	Yogurt fruit variety lowfat milk
11433000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_fruit_variety;L5_;Yogurt_fruit_variety_nonfat_milk	Yogurt fruit variety nonfat milk
