FoodCode	Main.food.description	ModCode	Old.Main.food.description	FoodID
11100000	Milk_NFS	0	Milk, NFS	11100000.0
11111000	Milk_cows_fluid_whole	0	Milk, cows, fluid, whole	11111000.0
11112110	Milk_cows_fluid_2_fat	0	Milk, cows, fluid, 2% fat	11112110.0
11112210	Milk_cows_fluid_1_fat	0	Milk, cows, fluid, 1% fat	11112210.0
11113000	Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat	0	Milk, cows, fluid, skim or nonfat, 0.5% or less butterfat	11113000.0
11411200	Yogurt_plain_lowfat_milk	0	Yogurt, plain, lowfat milk	11411200.0
11411300	Yogurt_plain_nonfat_milk	0	Yogurt, plain, nonfat milk	11411300.0
11422000	Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk	0	Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk	11422000.0
11432000	Yogurt_fruit_variety_lowfat_milk	0	Yogurt, fruit variety, lowfat milk	11432000.0
11433000	Yogurt_fruit_variety_nonfat_milk	0	Yogurt, fruit variety, nonfat milk	11433000.0
11433500	Yogurt_fruit_variety_nonfat_milk_sweetened_with_low_calorie_sweetener	0	Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener	11433500.0
11460170	Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk	0	Yogurt, frozen, flavors other than chocolate, lowfat milk	11460170.0
11511300	Milk_chocolate_skim_milk_based	0	Milk, chocolate, skim milk-based	11511300.0
11513300	Cocoa_and_sugar_mixture_skim_milk_added	0	Cocoa and sugar mixture, skim milk added	11513300.0
11830160	Cocoa_or_chocolate_flavored_beverage_powder_with_sugar_dry_mix_not_reconstituted	0	Cocoa (or chocolate) flavored beverage powder with sugar, dry mix, not reconstituted	11830160.0
12100100	Cream_NS_as_to_light_heavy_or_half_and_half	0	Cream, NS as to light, heavy, or half and half	12100100.0
12130100	Cream_heavy_fluid	0	Cream, heavy, fluid	12130100.0
12210200	Cream_substitute_liquid	0	Cream substitute, liquid	12210200.0
12210210	Cream_substitute_flavored_liquid	0	Cream substitute, flavored, liquid	12210210.0
12210270	Cream_substitute_fat_free_flavored_liquid	0	Cream substitute, fat free, flavored, liquid	12210270.0
12310100	Sour_cream	0	Sour cream	12310100.0
12350000	Dip_sour_cream_base	0	Dip, sour cream base	12350000.0
13110110	Ice_cream_regular_chocolate	0	Ice cream, regular, chocolate	13110110.0
13120550	Ice_cream_cookie_sandwich	0	Ice cream cookie sandwich	13120550.0
13120790	Ice_cream_sundae_cone	0	Ice cream sundae cone	13120790.0
