FoodCode	Seq.num	Start.date	End.date	Main.food.description
11111000	1	01/01/11 00:00:00	12/31/12 00:00:00	3.5% or 3.8% fat milk
11111000	2	01/01/11 00:00:00	12/31/12 00:00:00	leche fresca
11111160	1	01/01/11 00:00:00	12/31/12 00:00:00	CalciMilk
11111160	2	01/01/11 00:00:00	12/31/12 00:00:00	lowfat milk
11111170	1	01/01/11 00:00:00	12/31/12 00:00:00	Lakeside TLC Calcium Plus Skim Milk
11111170	2	01/01/11 00:00:00	12/31/12 00:00:00	fat free milk
11112110	1	01/01/11 00:00:00	12/31/12 00:00:00	Hi-Protein milk
11112110	2	01/01/11 00:00:00	12/31/12 00:00:00	fortified milk
11112110	3	01/01/11 00:00:00	12/31/12 00:00:00	1.5% fat milk
11112110	4	01/01/11 00:00:00	12/31/12 00:00:00	reduced fat milk
11112120	1	01/01/11 00:00:00	12/31/12 00:00:00	lowfat milk
11112130	1	01/01/11 00:00:00	12/31/12 00:00:00	1.5% fat acidophilus milk
11112130	2	01/01/11 00:00:00	12/31/12 00:00:00	reduced fat milk
11112210	1	01/01/11 00:00:00	12/31/12 00:00:00	Lucerne Protein Fortified Extra Light Milk
11112210	2	01/01/11 00:00:00	12/31/12 00:00:00	lowfat milk
11113000	1	01/01/11 00:00:00	12/31/12 00:00:00	fat free milk
11114300	1	01/01/11 00:00:00	12/31/12 00:00:00	Lactaid
11114300	2	01/01/11 00:00:00	12/31/12 00:00:00	Lactaid, NS as to percent fat
11114300	3	01/01/11 00:00:00	12/31/12 00:00:00	lowfat milk
11114310	1	01/01/11 00:00:00	12/31/12 00:00:00	Calcimilk with Lactaid
11114310	2	01/01/11 00:00:00	12/31/12 00:00:00	lowfat milk
11114320	1	01/01/11 00:00:00	12/31/12 00:00:00	Lactaid
11114320	2	01/01/11 00:00:00	12/31/12 00:00:00	fat free or skim milk
11114321	1	01/01/11 00:00:00	12/31/12 00:00:00	Calcium Fortified Lactaid
11114321	2	01/01/11 00:00:00	12/31/12 00:00:00	fat free or skim milk
11114330	1	01/01/11 00:00:00	12/31/12 00:00:00	Lactaid
11114330	2	01/01/11 00:00:00	12/31/12 00:00:00	reduced fat milk
11114350	1	01/01/11 00:00:00	12/31/12 00:00:00	Lactaid whole milk
11114350	2	01/01/11 00:00:00	12/31/12 00:00:00	lactose free
11115000	1	01/01/11 00:00:00	12/31/12 00:00:00	Kefir milk
11115000	2	01/01/11 00:00:00	12/31/12 00:00:00	buttermilk, NS as to fat
11115000	3	01/01/11 00:00:00	12/31/12 00:00:00	fat free or skim buttermilk
11115100	1	01/01/11 00:00:00	12/31/12 00:00:00	lowfat buttermilk
11115200	1	01/01/11 00:00:00	12/31/12 00:00:00	buttermilk, fluid, 2% fat, made with nonfat milk solids
11115200	2	01/01/11 00:00:00	12/31/12 00:00:00	reduced fat milk
11121210	1	01/01/11 00:00:00	12/31/12 00:00:00	1% fat milk
