"Food.code"	"Start.date"	"End.date"	"Main.food.description"	"Fortification.identifier"
11000000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, human"	0
11100000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, NFS"	1
11111000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, whole"	1
11111100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, whole, low-sodium"	1
11111150	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, calcium fortified, cow's, fluid, whole"	1
11111160	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, calcium fortified, cow's, fluid, 1% fat"	1
11111170	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, calcium fortified, cow's, fluid, skim or nonfat"	1
11112110	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, 2% fat"	1
11112120	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, acidophilus, 1% fat"	1
11112130	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, acidophilus, 2% fat"	1
11112210	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, 1% fat"	1
11113000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat"	1
11114300	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, lactose reduced, 1% fat"	1
11114310	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium"	1
11114320	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, lactose reduced, nonfat"	1
11114321	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium"	1
11114330	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, lactose reduced, 2% fat"	1
11114350	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, cow's, fluid, lactose reduced, whole"	1
11115000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Buttermilk, fluid, nonfat"	0
11115100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Buttermilk, fluid, 1% fat"	0
11115200	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Buttermilk, fluid, 2% fat"	0
11115300	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Buttermilk, fluid, whole"	1
11116000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, goat's, fluid, whole"	1
11120000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, dry, reconstituted, NFS"	1
11121100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, dry, reconstituted, whole"	1
11121210	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, dry, reconstituted, lowfat"	1
11121300	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, dry, reconstituted, nonfat"	1
