"Modification.code"	"Start.date"	"End.date"	"Modification.description"	"Food.code"
100004	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, yellow, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"	75216122
100006	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Peas, green, cooked, from canned, fat added in cooking W/ BUTTER, NFS"	75224033
100014	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"White potato, home fries W/O FAT"	71403000
100028	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Spinach, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"	72125222
100033	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Broccoli, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	72201221
100034	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, flavors other than chocolate, prepared from dry mix, milk added W/ 2% MILK"	13220110
100099	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"White beans, dry, cooked, fat added in cooking W/ BUTTER, NFS"	41101110
100147	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, flavors other than chocolate, prepared from dry mix, low calorie, containing artificial sweetener, milk added W/ 2% MILK"	13220210
100148	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Sauerkraut, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75230020
100149	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, string, green, canned, low sodium, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75205130
100156	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Asparagus, cooked, from canned, fat added in cooking W/ BUTTER, NFS"	75202023
100159	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Mixed vegetables (corn, lima beans, peas, green beans, and carrots), cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75311020
100242	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beets, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75208020
100267	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Poke greens, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	72123020
100300	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, string, green, cooked, from canned, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75205033
100360	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cabbage, Chinese, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75210020
100361	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Mushrooms, cooked, from canned, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75219023
100379	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, coconut W/ 2% MILK"	13210610
100397	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, cooked, from canned, NS as to color, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75216023
100409	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Mushrooms, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75219020
100416	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pinto, calico, or red Mexican beans, dry, cooked, fat added in cooking W/ BUTTER, NFS"	41104010
